icpsr,NAME,PARTY,STATE_NAME,LonX,LatY
21935,Dusty Johnson,Republican,South Dakota,-100.23,44.436
22122,Diana Harshbarger,Republican,Tennessee,-82.795,36.215
21905,Tim Burchett,Republican,Tennessee,-83.826,36.047
21178,Charles J. “Chuck” Fleischmann,Republican,Tennessee,-84.504,35.766
21179,Scott DesJarlais,Republican,Tennessee,-85.96,35.45
15019,Jim Cooper,Democrat,Tennessee,-87.07,36.177
21959,John W. Rose,Republican,Tennessee,-85.781,36.2
21926,Mark E. Green,Republican,Tennessee,-87.832,35.637
21731,David Kustoff,Republican,Tennessee,-89.099,35.861
20748,Steve Cohen,Democrat,Tennessee,-89.979,35.168
20527,Louie Gohmert,Republican,Texas,-94.559,31.959
21911,Daniel Crenshaw,Republican,Texas,-95.338,29.965
21973,Van Taylor,Republican,Texas,-96.615,33.158
22112,Pat Fallon,Republican,Texas,-95.404,33.31
21925,Lance Gooden,Republican,Texas,-95.736,32.227
22160,Jake Ellzey,Republican,Texas,-96.675,32.231
21919,Lizzie Fletcher,Democrat,Texas,-95.606,29.793
29760,Kevin Brady,Republican,Texas,-95.547,30.821
20529,Al Green,Democrat,Texas,-95.496,29.645
20530,Michael T. McCaul,Republican,Texas,-96.596,29.971
22147,August Pfluger,Republican,Texas,-100.083,31.736
29762,Kay Granger,Republican,Texas,-97.669,32.817
22125,Ronny Jackson,Republican,Texas,-100.617,34.838
21360,Randy K. Weber Sr.,Republican,Texas,-94.916,29.461
21722,Vicente Gonzalez,Democrat,Texas,-98.261,27.756
21917,Veronica Escobar,Democrat,Texas,-106.282,31.858
29759,Pete Sessions,Republican,Texas,-96.656,31.163
29573,Sheila Jackson Lee,Democrat,Texas,-95.377,29.889
21700,Jodey C. Arrington,Republican,Texas,-101.217,33.245
21362,Joaquin Castro,Democrat,Texas,-98.622,29.475
21961,Chip Roy,Republican,Texas,-98.96,30.018
22143,Troy Nehls,Republican,Texas,-95.683,29.518
22119,Tony Gonzales,Republican,Texas,-102.363,30.379
22155,Beth Van Duyne,Republican,Texas,-97.011,32.92
21364,Roger Williams,Republican,Texas,-97.814,31.505
20355,Michael C. Burgess,Republican,Texas,-97.132,33.195
21758,Michael Cloud,Republican,Texas,-96.877,28.873
20533,Henry Cuellar,Democrat,Texas,-98.909,27.857
21922,Sylvia R. Garcia,Democrat,Texas,-95.266,29.783
39305,Eddie Bernice Johnson,Democrat,Texas,-96.801,32.657
20356,John R. Carter,Republican,Texas,-97.539,30.837
21900,Colin Z. Allred,Democrat,Texas,-96.652,32.921
21365,Marc A. Veasey,Democrat,Texas,-97.094,32.754
22165,Mayra Flores,Republican,Texas,-97.665,27.692
29571,Lloyd Doggett,Democrat,Texas,-97.886,29.918
21551,Brian Babin,Republican,Texas,-94.414,30.46
22141,Blake Moore,Republican,Utah,-111.329,40.945
21367,Chris Stewart,Republican,Utah,-112.562,38.758
21755,John R. Curtis,Republican,Utah,-110.228,38.68
22146,Burgess Owens,Republican,Utah,-111.85,39.88
20756,Robert J. Wittman,Republican,Virginia,-77.064,37.922
21941,Elaine Luria,Democrat,Virginia,-75.945,37.355
39307,Robert C. “Bobby” Scott,Democrat,Virginia,-76.59,36.899
21736,A. Donald McEachin,Democrat,Virginia,-77.162,36.958
22120,Bob Good,Republican,Virginia,-78.742,37.347
21908,Ben Cline,Republican,Virginia,-79.191,38.135
21966,Abigail Davis Spanberger,Democrat,Virginia,-77.901,37.826
21554,"Donald S. Beyer, Jr.",Democrat,Virginia,-77.137,38.79
21191,H. Morgan Griffith,Republican,Virginia,-81.319,36.992
21983,Jennifer Wexton,Democrat,Virginia,-77.837,39.084
20952,Gerald E. Connolly,Democrat,Virginia,-77.296,38.794
20750,Peter Welch,Democrat,Vermont,-72.663,44.075
31101,Suzan K. DelBene,Democrat,Washington,-121.632,48.348
20145,Rick Larsen,Democrat,Washington,-122.491,48.354
21187,Jaime Herrera Beutler,Republican,Washington,-122.189,46.226
21556,Dan Newhouse,Republican,Washington,-119.705,47.299
20535,Cathy McMorris Rodgers,Republican,Washington,-117.879,47.59
21368,Derek Kilmer,Democrat,Washington,-123.607,47.592
21726,Pramila Jayapal,Democrat,Washington,-122.376,47.589
21962,Kim Schrier,Democrat,Washington,-121.003,47.423
29768,Adam Smith,Democrat,Washington,-122.244,47.463
22153,Marilyn Strickland,Democrat,Washington,-122.752,47.031
21970,Bryan Steil,Republican,Wisconsin,-88.372,42.712
21370,Mark Pocan,Democrat,Wisconsin,-89.748,42.983
29769,Ron Kind,Democrat,Wisconsin,-90.916,44.068
20537,Gwen Moore,Democrat,Wisconsin,-87.952,43.064
22115,Scott Fitzgerald,Republican,Wisconsin,-88.534,43.199
21559,Glenn Grothman,Republican,Wisconsin,-88.704,43.797
21989,Thomas P. Tiffany,Republican,Wisconsin,-90.656,45.59
21720,Mike Gallagher,Republican,Wisconsin,-88.287,44.811
21188,David B. McKinley,Republican,West Virginia,-80.267,39.38
21557,Alexander X. Mooney,Republican,West Virginia,-80.185,38.839
21946,Carol Miller,Republican,West Virginia,-81.198,37.994
21710,Liz Cheney,Republican,Wyoming,-107.551,43
